Latitude,Longitude
[25.81316774],[-80.30933777]
[25.6436949],[-80.3808426]
[26.01116227],[-80.36122308]
[25.60812241],[-80.45225749]
[25.89432945],[-80.217906]
[25.79687304],[-80.34255552]
[25.49939998],[-80.41376583]
[25.77564613],[-80.33532925]
[26.03548564],[-80.35976263]
[25.65688248],[-80.4344779]
[25.59447721],[-80.3524415]
[25.90662248],[-80.31109756]
[25.94753387],[-80.35120818]
[26.05980949],[-80.20400896]
[25.55470244],[-80.50761392]
[25.84998786],[-80.38794896]
[25.85350914],[-80.25242652]
[25.82894342],[-80.3186813]
[25.71666065],[-80.39304193]
[25.99810539],[-80.40303213]
[25.88379868],[-80.29812145]
[25.81231906],[-80.26194973]
[25.7099175],[-80.34785119]
[25.9652751],[-80.31962035]
[25.82177291],[-80.35256061]
[25.56486976],[-80.45891757]
[25.58511749],[-80.36626305]
[26.08182273],[-80.360955]
[25.91966308],[-80.25661196]
[25.86565992],[-80.340316]
[25.53513194],[-80.40125008]
[26.02529729],[-80.16737841]
[25.632804],[-80.40883723]
[26.12380479],[-80.20532511]
[25.73388292],[-80.38655266]
[25.93130096],[-80.33889978]
[25.51536111],[-80.46745864]
[26.00749823],[-80.20445557]
[25.79809697],[-80.19486762]
[25.90515942],[-80.26707127]
[25.73114505],[-80.32838989]
[25.85529041],[-80.22338695]
[25.96662458],[-80.29486803]
[25.48640879],[-80.53708144]
[25.67131944],[-80.39137908]
[25.89304312],[-80.38002653]
[25.74246764],[-80.453563]
[25.79110223],[-80.29640885]
[25.75567602],[-80.2647334]
[25.93087508],[-80.21542627]
[25.93104886],[-80.29556079]
[25.66146836],[-80.35104453]
[25.64592152],[-80.28677502]
[25.7026734],[-80.29449172]
[25.88381199],[-80.27048778]
[25.62445265],[-80.39032328]
[25.59267888],[-80.49952731]
[25.80549607],[-80.28660411]
[25.70742067],[-80.45075617]
[25.7853017],[-80.33709947]
[25.66812161],[-80.36488058]
[25.80797781],[-80.24541894]
[25.70867948],[-80.35587946]
[25.53941292],[-80.50190249]
[25.84769485],[-80.17926735]
[25.75927645],[-80.3035768]
[25.48189569],[-80.47281238]
[25.97281201],[-80.24622146]
[25.79307079],[-80.29643124]
[25.57295845],[-80.39741538]
[25.73121462],[-80.26172106]
[25.99015864],[-80.40817603]
[25.57049238],[-80.51209265]
[25.99907543],[-80.26112906]
[25.55688627],[-80.45530412]
[25.60922346],[-80.32312226]
[25.99993638],[-80.25815225]
[25.94730219],[-80.29362895]
[25.92859952],[-80.35198876]
[26.20638805],[-80.11129496]
[25.81969269],[-80.3100778]
[25.94190333],[-80.28415093]
[25.51188658],[-80.49517124]
[26.17990652],[-80.28504459]
[26.07975429],[-80.21515703]
[25.7402178],[-80.22310123]
[25.90217297],[-80.3592469]
[25.49367403],[-80.42565122]
[25.9919076],[-80.29667958]
[25.68845394],[-80.40864936]
[25.90306339],[-80.25986906]
[25.88550534],[-80.19812948]
[25.95305377],[-80.3186044]
[25.9321475],[-80.29340328]
[25.84943494],[-80.24424237]
[25.98217116],[-80.34113689]
[25.60429359],[-80.37841185]
[25.68271978],[-80.32296894]
[25.85639668],[-80.22161826]
[25.4647868],[-80.46483095]
[25.82608092],[-80.39272479]
[25.7644947],[-80.27379371]
[25.86089828],[-80.37700597]
[26.01657965],[-80.26810609]
[26.00005176],[-80.25352462]
[25.84936121],[-80.38310635]
[25.88872321],[-80.25886506]
[25.86551793],[-80.25588812]
[25.73232185],[-80.38297297]
[25.7406337],[-80.24166912]
[25.7729718],[-80.3806263]
[25.78369756],[-80.39980866]
[25.87849298],[-80.16975083]
[25.74393635],[-80.40418982]
[25.633486],[-80.40184585]
[25.72848438],[-80.38435671]
[25.83101479],[-80.29048116]
[25.97026901],[-80.28785351]
[25.82177397],[-80.30791608]
[25.78641257],[-80.27325984]
[25.56541761],[-80.47710166]
[25.7489316],[-80.27242835]
[25.62996575],[-80.44252218]
[25.71671297],[-80.30172424]
[26.10851364],[-80.40701716]
[25.68840272],[-80.34661688]
[26.19302569],[-80.23266458]
[25.77187259],[-80.36784629]
[25.6898824],[-80.28507719]
[25.72211166],[-80.42818542]
[25.84350461],[-80.2863424]
[26.26954362],[-80.25396161]
[25.71010175],[-80.39543308]
[25.77337696],[-80.33396455]
[25.81341881],[-80.39811047]
[25.47109654],[-80.40419451]
[25.99978364],[-80.30105073]
[25.90903315],[-80.28300605]
[25.63720616],[-80.35332583]
[25.66917646],[-80.34159198]
[25.89281979],[-80.30615663]
[26.00963884],[-80.34677399]
[25.9850702],[-80.31547368]
[25.63567475],[-80.36917851]
[25.77922042],[-80.37557472]
[26.18112786],[-80.26641899]
[25.66835184],[-80.32601354]
[25.47089338],[-80.44597539]
[25.71893205],[-80.42765842]
[26.05160305],[-80.26093719]
[25.75854182],[-80.28336486]
[25.62041434],[-80.36732745]
[25.62015106],[-80.39298505]
[25.88533063],[-80.3729659]
[25.9169111],[-80.16446447]
[26.06414736],[-80.2292678]
[25.92307037],[-80.2108784]
[26.050369],[-80.37567227]
[25.53470916],[-80.45589435]
[26.03744063],[-80.29139229]
[25.88188621],[-80.28687823]
[25.85245156],[-80.33998017]
[26.1339952],[-80.15671825]
[25.52272506],[-80.52208607]
[25.6986785],[-80.28465697]
[25.87919722],[-80.33391197]
[26.07746832],[-80.19153059]
[25.59617542],[-80.40676851]
[25.81565906],[-80.34957496]
[25.73284161],[-80.37112126]
[25.8212455],[-80.31796795]
[25.67731712],[-80.34640511]
[25.98391703],[-80.24054119]
[25.75720395],[-80.43865993]
[25.89913914],[-80.24789637]
[25.84714524],[-80.37381557]
[25.7618096],[-80.29496544]
[26.121694],[-80.23042513]
[25.60245241],[-80.38454302]
[26.10208572],[-80.33765086]
[25.73316472],[-80.27238811]
[25.82962769],[-80.27983634]
[25.74217131],[-80.41798469]
[25.470457],[-80.47016125]
[25.9094779],[-80.19617855]
[25.66564665],[-80.3871559]
[25.97351582],[-80.32099162]
[25.89758437],[-80.36687168]
[25.7017086],[-80.3137436]
[26.05922771],[-80.27765946]
[26.00230725],[-80.17116559]
[25.58211037],[-80.41071834]
[25.86676581],[-80.19258164]
[25.70639237],[-80.45534015]
[26.01208418],[-80.2049141]
[25.73649743],[-80.3694679]
[25.70656509],[-80.32657479]
[25.84190466],[-80.33557684]
[25.45666757],[-80.46646177]
[25.73499269],[-80.40052811]
[25.52685309],[-80.52218522]
[25.66732173],[-80.45990007]
[25.72111302],[-80.36401206]
[25.80960746],[-80.24620794]
[25.71819418],[-80.33053715]
[25.52695312],[-80.45429445]
[25.9628486],[-80.26902562]
[25.93086732],[-80.27559231]
[25.99762872],[-80.2481652]
[25.72944908],[-80.36274303]
[26.09109611],[-80.16386963]
[25.99165251],[-80.20857519]
[25.93142966],[-80.30572652]
[25.78581849],[-80.21502731]
[25.91477378],[-80.26306895]
[25.86204421],[-80.32867049]
[25.52740973],[-80.44668523]
[25.65220344],[-80.39807469]
[25.95862416],[-80.28513386]
[25.89255196],[-80.27626894]
[25.4458199],[-80.49896196]
[25.8184589],[-80.24118088]
[25.97773754],[-80.32689082]
[25.55488302],[-80.48393702]
[25.69159192],[-80.4203129]
[25.58505979],[-80.47753526]
[25.81812278],[-80.34760859]
[25.7017619],[-80.35229752]
[25.7821222],[-80.25834905]
[25.84420359],[-80.29849979]
[25.83721451],[-80.28180097]
[25.69747074],[-80.30380704]
[25.5445054],[-80.37398704]
[25.5678912],[-80.35204194]
[25.86743898],[-80.33647178]
[25.70803879],[-80.45909888]
[25.51226608],[-80.40649257]
[25.87509914],[-80.27521266]
[25.65466862],[-80.4581182]
[25.89563083],[-80.39053915]
[25.87434258],[-80.38064213]
[26.17149905],[-80.21195745]
[25.83709384],[-80.28748535]
[25.45193172],[-80.48469537]
[25.77440502],[-80.31755924]
[25.93215056],[-80.24145336]
[25.76607059],[-80.20125295]
[25.65520437],[-80.29332855]
[26.07808274],[-80.14324275]
[25.86473454],[-80.30013021]
[25.94298576],[-80.30363665]
[25.72605683],[-80.44147065]
[25.59257361],[-80.49748789]
[25.7161177],[-80.37152642]
[25.85135762],[-80.3208726]
[25.46928236],[-80.44537696]
[25.72565888],[-80.42517134]
[25.7783905],[-80.41949435]
[25.89738367],[-80.17615625]
[25.99344219],[-80.39092637]
[26.08911436],[-80.31414672]
[25.81403814],[-80.20718108]
[25.63212031],[-80.34104321]
[25.75123188],[-80.41222457]
[25.81654687],[-80.33955772]
[25.91049636],[-80.26547963]
[25.83137008],[-80.39164396]
[25.53656348],[-80.47399859]
[25.47668557],[-80.47695588]
[25.90545467],[-80.36840636]
[25.732829],[-80.37272276]
[25.96638211],[-80.1320623]
[25.69941713],[-80.45408089]
[25.59496847],[-80.51219471]
[25.58490783],[-80.45206505]
[26.12550926],[-80.19887484]
[26.03903146],[-80.29624965]
[25.53316486],[-80.38829266]
[25.76975186],[-80.24505075]
[25.89670817],[-80.26552883]
[25.79113594],[-80.35101507]
[25.8790847],[-80.38082448]
[25.45172376],[-80.44287731]
[25.93678747],[-80.29807497]
[25.90770016],[-80.38102013]
[26.14470849],[-80.20425422]
[25.70649105],[-80.41258398]
[25.75146752],[-80.40768405]
[25.47636904],[-80.48803869]
[25.53664571],[-80.40609085]
[25.5262651],[-80.46340825]
[25.74490344],[-80.3142338]
[25.84877659],[-80.31742564]
[25.92442018],[-80.16194335]
[25.83296282],[-80.28882149]
[25.55000933],[-80.51278826]
[25.49359207],[-80.44840525]
[26.09620738],[-80.30760514]
[25.71597501],[-80.32242092]
[25.99242555],[-80.3766888]
[25.95556637],[-80.2127914]
[25.92142076],[-80.3477895]
[25.77187895],[-80.25991502]
[25.78894012],[-80.39074121]
[25.54860756],[-80.52732379]
[25.91342098],[-80.2916745]
[25.55336993],[-80.40698149]
[25.79437809],[-80.39680175]
[25.70017357],[-80.25884994]
[25.61009177],[-80.38721391]
[25.73364686],[-80.34721798]
[25.98649544],[-80.33497741]
[25.77748117],[-80.32594877]
[25.60312655],[-80.51037762]
[25.71141644],[-80.30504466]
[25.65071188],[-80.30626642]
[26.00941153],[-80.39794124]
[25.87007193],[-80.17030099]
[25.98037843],[-80.25571002]
[25.81924112],[-80.37886454]
[25.83023648],[-80.29645243]
[25.74271604],[-80.34047728]
[25.96077001],[-80.2771657]
[26.03785214],[-80.15108052]
[25.78506711],[-80.25134664]
[25.57244633],[-80.40225562]
[25.51394095],[-80.46634567]
[25.7297539],[-80.40740532]
[25.78674909],[-80.37009944]
[25.68204497],[-80.38813016]
[25.43005152],[-80.50454337]
[25.75942734],[-80.22144815]
[25.79845543],[-80.38690322]
[25.74458142],[-80.36126188]
[25.94618658],[-80.27595665]
[25.67352662],[-80.32142446]
[26.15962861],[-80.27485528]
[25.62691705],[-80.35371525]
[25.82746726],[-80.35125448]
[25.63016474],[-80.39167583]
[25.98027896],[-80.29051946]
[25.80745496],[-80.39807282]
[25.63567565],[-80.38665893]
[25.68786923],[-80.45413437]
[25.60933224],[-80.38315536]
[25.74648847],[-80.39064719]
[25.92900366],[-80.22799168]
[25.47784511],[-80.49508797]
[25.78263239],[-80.29588387]
[25.60707822],[-80.37426983]
[25.89383785],[-80.19193193]
[25.821656],[-80.37205964]
[25.72770163],[-80.45413869]
[25.83004968],[-80.19478764]
[25.75590727],[-80.25609473]
[25.61206931],[-80.42727348]
[25.74025218],[-80.2827756]
[25.89688921],[-80.37217285]
[25.67781883],[-80.3960359]
[25.77388708],[-80.2750625]
[25.52526429],[-80.39864765]
[25.75328801],[-80.39039434]
[25.59394581],[-80.46653526]
[25.46725025],[-80.41800669]
[25.69071478],[-80.34833262]
[25.62299101],[-80.45596632]
[25.51312399],[-80.48332889]
[25.53445078],[-80.36845699]
[25.44769548],[-80.47295619]
[25.6605637],[-80.32731787]
[25.85487427],[-80.34583551]
[25.91699421],[-80.38305114]
[25.53446638],[-80.38494866]
[25.5717187],[-80.43923488]
[25.5755821],[-80.47319097]
[25.62585147],[-80.42889476]
[26.03857886],[-80.33135363]
[25.97483362],[-80.19719389]
[25.76951336],[-80.13455121]
[25.50245745],[-80.47637568]
