ZipCode,Cases
33496,208
33486,413
33442,438
33434,201
33433,641
33431,318
33428,634
33351,650
33334,689
33332,156
33331,332
33330,181
33328,407
33327,247
33326,427
33325,493
33324,583
33323,317
33322,481
33321,835
33319,961
33317,709
33316,1016
33315,333
33314,571
33313,1335
33312,1142
33311,1985
33309,1091
33308,408
33306,50
33305,236
33304,333
33301,327
33199,5
33198,5
33196,1102
33195,588
33194,430
33193,1131
33190,324
33189,476
33188,481
33187,459
33186,1239
33185,611
33184,577
33183,856
33182,328
33181,397
33180,647
33179,1080
33178,1609
33177,1382
33176,1238
33175,1724
33174,833
33173,672
33172,1162
33170,482
33169,1182
33168,671
33167,536
33166,909
33165,1987
33162,1125
33161,1476
33160,675
33158,89
33157,1877
33156,742
33155,1176
33154,225
33152,700
33150,886
33147,1713
33146,210
33145,777
33144,973
33143,1298
33142,2870
33141,678
33140,693
33139,945
33138,527
33137,686
33136,1792
33135,1252
33134,774
33133,810
33132,349
33131,337
33130,1019
33129,264
33128,1403
33127,966
33126,1644
33125,3477
33124,1705
33122,61
33076,443
33073,575
33071,529
33069,676
33068,1119
33067,277
33066,216
33065,905
33064,1719
33063,940
33062,234
33060,1017
33056,1196
33055,1535
33054,1151
33039,5
33035,383
33034,0
33033,1848
33032,1201
33031,108
33030,1701
33029,700
33028,937
33027,1005
33026,478
33025,1673
33024,1629
33023,1915
33021,1042
33020,918
33019,179
33018,1548
33016,1696
33015,1911
33014,1143
33013,1108
33012,2505
33010,1849
33009,757
33004,285
