subject,course
biology,BSC
biology,BIO
math,MAC
math,MAT
statistics,STA
statistics,MAA
computer science,COP
computer science,CAP
information system,ISM
information system,GEB
engineering,EEL
engineering,EGN
english,ENC
english,LIT
liberal arts,LIB
liberal arts,ART
chemistry,CHM
chemistry,CHE
physics,PHY
physics,MAP
education,EDU
education,EAR
psychology,PSY
psychology,HPY
accounting,ACC
accounting,ACT
information technology,CNT
information technology,CIS
history,HIS
history,AMH
economics,ECO
economics,POL
health,HAS
health,HTH
human resource,HRS
human resource,HIS
hospitality ,FSS
hospitality ,HFT
politics,POS
politics,POT
