Latitude,Longitude
25.432437,-80.547362
25.551438,-80.547362
25.555155,-80.51303
25.617086,-80.514404
25.617086,-80.456725
25.661657,-80.459472
25.664132,-80.480071
25.727244,-80.467712
25.77672,-80.432006
25.795268,-80.399047
25.896614,-80.3963
25.962071,-80.360595
25.979356,-80.410033
26.054962,-80.405182
26.117865,-80.413422
26.112932,-80.365356
26.111699,-80.336517
26.172107,-80.296692
26.233215,-80.290727
26.348951,-80.292101
26.33049,-80.241289
26.401856,-80.222063
26.401856,-80.163011
26.401856,-80.073747
26.341567,-80.076494
26.291098,-80.081987
26.254155,-80.0916
26.226944,-80.096706
26.156395,-80.108035
26.13174,-80.104259
26.103071,-80.105289
26.098754,-80.106662
26.097829,-80.113529
26.108312,-80.119022
26.109545,-80.123828
26.099338,-80.127754
26.089196,-80.121082
26.081695,-80.11742
26.052705,-80.11639
26.051082,-80.134586
26.033191,-80.135616
26.019,-80.1236
25.979811,-80.124287
25.97353,-80.118637
25.967048,-80.118637
25.961029,-80.11898
25.953929,-80.119324
25.946366,-80.119152
25.938653,-80.120182
25.9297,-80.121212
25.921788,-80.121555
25.91098,-80.121384
25.907699,-80.121555
25.904976,-80.121397
25.902583,-80.121697
25.900961,-80.121955
25.899032,-80.123506
25.899032,-80.123506
25.899262,-80.121902
25.896366,-80.121988
25.892042,-80.121516
25.887834,-80.121172
25.882158,-80.120743
25.879392,-80.1204
25.875145,-80.120014
25.870561,-80.119391
25.865539,-80.118919
25.862511,-80.119005
25.85919,-80.118919
25.854216,-80.119134
25.85223,-80.118787
25.851155,-80.11904
25.848491,-80.118954
25.844336,-80.118825
25.838542,-80.119211
25.828243,-80.119812
25.824594,-80.119984
25.818104,-80.120842
25.817052,-80.120737
25.81229,-80.121302
25.808542,-80.122032
25.804868,-80.122882
25.802108,-80.124179
25.799897,-80.125239
25.795183,-80.126612
25.791241,-80.127599
25.783778,-80.127883
25.781636,-80.128897
25.779549,-80.129283
25.776144,-80.1301
25.772528,-80.130677
25.766152,-80.131321
25.765301,-80.130892
25.767744,-80.136795
25.784472,-80.142402
25.787641,-80.14429
25.795446,-80.144462
25.796141,-80.139484
25.80526,-80.139484
25.809123,-80.137166
25.809269,-80.136268
25.810081,-80.136826
25.810235,-80.146225
25.816475,-80.13782
25.825128,-80.134301
25.824896,-80.133185
25.826827,-80.131812
25.827755,-80.132927
25.830768,-80.130095
25.834939,-80.129923
25.838416,-80.132327
25.845677,-80.127606
25.845986,-80.125975
25.844248,-80.125117
25.844016,-80.125031
25.844016,-80.12413
25.845368,-80.119709
25.847183,-80.121383
25.853015,-80.123701
25.855091,-80.124836
25.85567,-80.126081
25.855941,-80.126617
25.855844,-80.127561
25.853315,-80.125759
25.85233,-80.131552
25.849939,-80.135801
25.849244,-80.139492
25.850248,-80.142646
25.854262,-80.145291
25.860287,-80.142201
25.860982,-80.13233
25.858742,-80.129498
25.856,-80.127696
25.856116,-80.125721
25.857101,-80.125121
25.858166,-80.12571
25.858204,-80.125973
25.857861,-80.125951
25.857606,-80.125699
25.857239,-80.125452
25.857166,-80.125474
25.857089,-80.127115
25.859054,-80.128655
25.860068,-80.128499
25.860299,-80.127781
25.860333,-80.127421
25.860347,-80.12689
25.860241,-80.126681
25.860082,-80.126643
25.859604,-80.126729
25.859223,-80.126799
25.859017,-80.126752
25.85878,-80.126404
25.858573,-80.126146
25.858336,-80.126028
25.858259,-80.126023
25.858288,-80.125272
25.859381,-80.125355
25.859044,-80.126029
25.860791,-80.126469
25.860869,-80.127789
25.862976,-80.132193
25.863072,-80.141827
25.863806,-80.143222
25.863793,-80.143213
25.8648,-80.14246
25.865068,-80.135243
25.865126,-80.132464
